Skill                                                                                                  	Summary                                                                                                                                                                                                        	Examples
<a href="https://github.com/NeonGeckoCom/skill-free_music_archive">Free Music Archive<a>               	[OCP](https://github.com/OpenVoiceOS/ovos-ocp-audio-plugin) skill to play royalty free music from [Free Music Archive](https://freemusicarchive.org/).                                                         	Play jazz.,Play classical music.,Play electronic music.,Play Mozart.
<a href="https://github.com/NeonGeckoCom/skill-communication">Communication<a>                         	Skill for the Common Message Skill framework.
<a href="https://github.com/NeonGeckoCom/skill-generate_script.git">Script Generator<a>                	A skill that generates scripts, which can be used by custom-conversations.neon after compiling
<a href="https://github.com/NeonGeckoCom/skill-spelling">Spelling<a>                                   	Let Neon help you spell words                                                                                                                                                                                  	How do you spell aardvark?,Spell succotash.,How do you spell bureacracy?,Spell omnipotence.
<a href="https://github.com/NeonGeckoCom/skill-klat.git">Klat<a>                                       	Skill that acts as a connector to klat.com via the klat_api                                                                                                                                                    	(enable/disable) klat connection
<a href="https://github.com/NeonGeckoCom/skill-gesture_detection.git">Gesture Detection<a>             	Recognizes claps and other gestures and execute some action.                                                                                                                                                   	(enable/disable) clap commands,change clap commands to my (home/audio/default) set
<a href="https://github.com/NeonGeckoCom/skill-data_controls">Data Controls<a>                         	Manage user data                                                                                                                                                                                               	Clear my user transcriptions.,Erase all pictures.,Delete my profile.
<a href="https://github.com/NeonGeckoCom/skill-demo">Demo<a>                                           	Skill to demo Neon capabilities                                                                                                                                                                                	Show me the demo.
<a href="https://github.com/NeonGeckoCom/skill-stock">Stock<a>                                         	This skill provides stock values.                                                                                                                                                                              	What is the share price for Amazon?,What is the stock price for Microsoft?
<a href="https://github.com/NeonGeckoCom/skill-running_out.git">Running Out<a>                         	Notify a caregiver when a user is running out of something                                                                                                                                                     	i'm out of toothpaste,i can't find my toothbrush,i need a new toothbrush
<a href="https://github.com/NeonGeckoCom/skill-query">Query<a>                                         	Negotiates the best answer to a question                                                                                                                                                                       	how tall is abraham lincoln?,what is an aardwark?
<a href="https://github.com/NeonGeckoCom/skill-audio_record">Audio Record<a>                           	Record and playback short audio clips with Neon.                                                                                                                                                               	record audio,record audio for 30 seconds,record my daily prescriptions,record my daily prescriptions for 1 minute
<a href="https://github.com/NeonGeckoCom/skill-local_music">Local Music<a>                             	[OCP](https://github.com/OpenVoiceOS/ovos-ocp-audio-plugin) skill to play media from local storage.                                                                                                            	play local music,play music by Daft Punk,play the black album,play stressed out by twenty one pilots
<a href="https://github.com/NeonGeckoCom/skill-support_helper">Support Helper<a>                       	Get diagnostic information sent via email.                                                                                                                                                                     	Create a troubleshooting package.,Create a support ticket.
<a href="https://github.com/NeonGeckoCom/skill-speak">Speak<a>                                         	Have Neon repeat whatever you want                                                                                                                                                                             	Say Goodnight, Gracie.,Repeat I can say anything you'd like!
<a href="https://github.com/NeonGeckoCom/skill-news">Latest news<a>                                    	Listen to the latest news report from your favorite broadcast                                                                                                                                                  	play the news,play the bbc news,tell me the news,what's the news?,restart news
<a href="https://github.com/NeonGeckoCom/skill-conversation_by_example.git">Conversations by Example<a>	Coming Soon
<a href="https://github.com/NeonGeckoCom/skill-about">About<a>                                         	Skill used to provide information about Neon                                                                                                                                                                   	Tell me my license.,Tell me my skills.,What can you do?
<a href="https://github.com/NeonGeckoCom/skill-weather">Weather<a>                                     	Get current weather and forecast info.                                                                                                                                                                         	What is the weather in Los Angeles?,What is the forecast for Friday?
<a href="https://github.com/NeonGeckoCom/skill-ip_address">IP Address<a>                               	Retrieve the [IP address](https://en.wikipedia.org/wiki/IP_address), also known as the "network address" of the Device and respond verbally to the user, and if the Device supports it, display the IP address.	What's your IP address?,Tell me your IP address.,What is my public IP address?
<a href="https://github.com/NeonGeckoCom/skill-recipes">Recipes<a>                                     	Get help making a meal.                                                                                                                                                                                        	what can i cook with chicken?,how do i cook lasagna?
<a href="https://github.com/NeonGeckoCom/skill-i_like_coupons.git">I Like Coupons<a>                   	Request the list of coupons, relevant to your current interests.                                                                                                                                               	tell me my likes,read me my likes,tell me coupons for neon,tell me my coupons,email me my coupons
<a href="https://github.com/NeonGeckoCom/skill-update">Neon Updates<a>                                 	Skill to update Python packages, configuration, and to create new boot media.                                                                                                                                  	Check for updates.,Do you have any updates?,Update my default configuration.,Create a new boot drive.
<a href="https://github.com/NeonGeckoCom/skill-fallback_unknown">Fallback Unknown<a>                   	Unknown request fallback handler. Executes if every other step failed to answer the question.
<a href="https://github.com/NeonGeckoCom/skill-date_time">Date and Time<a>                             	Get the time, date, day of the week                                                                                                                                                                            	What time is it?,What time is it in Paris?,Show me the time.,What's the date?,Tell me the day of the week.,What day is Memorial Day 2020?
<a href="https://github.com/NeonGeckoCom/skill-symptom_checker">Symptom Checker<a>                     	A skill to gather reported symptoms of users.                                                                                                                                                                  	i feel sad today,my left eye is itchy and has been watering for a few hours,my right elbow hurts
<a href="https://github.com/NeonGeckoCom/skill-speed_test">Speed Test<a>                               	Skill used to test your internet speed                                                                                                                                                                         	Run a speed test.,How fast is my internet?
